table_id,otsl_square,raw_cell_count,bbox_sync,raw_bbox_count,n_raw_overlaps,n_cells_at_overlap_check
PMC1064127_003_00_table0,True,20,True,20,0,20
PMC1065052_003_00_table0,True,50,True,50,0,50
PMC1314901_001_01_table0,True,30,True,30,4,30
PMC1315318_002_01_table0,True,46,True,46,27,46
PMC1434766_006_00_table0,True,20,True,20,0,20
PMC1484491_005_00_table0,True,277,True,277,36,277
PMC1550233_005_01_table0,True,24,True,24,0,24
PMC1618841_004_00_table0,True,46,True,46,0,46
PMC1698917_003_01_table0,True,36,True,36,0,36
PMC1779267_003_00_table0,True,184,True,184,20,184
PMC1781463_003_00_table0,True,104,True,104,0,104
PMC1797029_008_00_table0,True,16,True,16,0,16
PMC1820791_005_01_table0,True,51,True,51,0,51
PMC1855061_006_01_table0,True,30,True,30,0,30
PMC1904448_002_00_table0,True,48,True,48,0,48
PMC1913050_004_01_table0,True,95,True,95,1,95
PMC2018701_005_00_table0,True,54,True,54,1,54
PMC2174490_004_00_table0,True,42,True,42,3,42
PMC2175502_005_00_table0,True,182,True,182,5,182
PMC2231405_018_00_table0,True,100,True,100,0,100
PMC2311274_002_00_table0,True,116,True,116,0,116
PMC2358907_008_00_table0,True,48,True,48,15,48
PMC2386440_005_01_table0,True,59,True,59,2,59
PMC2483972_004_00_table0,True,137,True,137,0,137
PMC2547111_008_00_table0,True,96,True,96,51,96
PMC2632665_006_01_table0,True,30,True,30,3,30
PMC2706826_003_01_table0,True,28,True,28,6,28
PMC2738680_001_00_table0,True,8,True,8,0,8
PMC2760533_003_00_table0,True,280,True,280,12,280
PMC2791105_002_00_table0,True,10,True,10,0,10
PMC2811130_004_00_table0,True,78,True,78,1,78
PMC2851717_003_01_table0,True,101,True,101,7,101
PMC2860338_006_01_table0,True,20,True,20,2,20
PMC2873398_002_00_table0,True,24,True,24,0,24
PMC2874552_004_00_table0,True,63,True,63,0,63
PMC2886062_002_00_table0,True,24,True,24,0,24
PMC2910697_005_00_table0,True,131,True,131,1,131
PMC2924259_003_01_table0,True,140,True,140,0,140
PMC2949868_008_00_table0,True,45,True,45,0,45
PMC2989978_003_00_table0,True,15,True,15,0,15
PMC2994840_003_01_table0,True,18,True,18,0,18
PMC3033161_002_00_table0,True,20,True,20,0,20
PMC3040293_007_00_table0,True,68,True,68,12,68
PMC3048570_008_00_table0,True,203,True,203,31,203
PMC3053224_004_01_table0,True,50,True,50,0,50
PMC3123214_004_00_table0,True,356,True,356,6,356
PMC3123641_003_01_table0,True,28,True,28,0,28
PMC3135517_004_00_table0,True,38,True,38,0,38
PMC3137644_003_01_table0,True,30,True,30,0,30
PMC3157154_002_00_table0,True,73,True,73,2,73
PMC3166744_012_00_table0,True,96,True,96,1,96
PMC3190345_011_00_table0,True,15,True,15,4,15
PMC3217845_004_00_table0,True,61,True,61,3,61
PMC3233404_004_00_table0,True,25,True,25,3,25
PMC3235077_004_00_table0,True,9,True,9,3,9
PMC3236372_003_01_table0,True,51,True,51,0,51
PMC3257654_001_00_table0,True,8,True,8,2,8
PMC3279136_001_00_table0,True,40,True,40,0,40
PMC3280162_004_00_table0,True,12,True,12,0,12
PMC3286421_010_01_table0,True,24,True,24,5,24
PMC3304136_011_00_table0,True,29,True,29,5,29
PMC3351704_002_00_table0,True,170,True,170,0,170
PMC3357595_003_02_table0,True,30,True,30,0,30
PMC3384900_001_00_table0,True,30,True,30,0,30
PMC3391436_001_00_table0,True,20,True,20,9,20
PMC3446455_006_00_table0,True,81,True,81,1,81
PMC3477018_003_01_table0,True,38,True,38,4,38
PMC3491046_001_00_table0,True,38,True,38,0,38
PMC3493266_004_00_table0,True,150,True,150,0,150
PMC3494521_003_00_table0,True,46,True,46,4,46
PMC3503571_005_00_table0,True,244,True,244,0,244
PMC3517382_006_00_table0,True,54,True,54,0,54
PMC3519748_003_00_table0,True,28,True,28,1,28
PMC3521170_002_00_table0,True,80,True,80,0,80
PMC3534508_005_00_table0,True,9,True,9,0,9
PMC3552836_005_00_table0,True,25,True,25,0,25
PMC3558444_008_01_table0,True,90,True,90,0,90
PMC3561142_006_00_table0,True,9,True,9,0,9
PMC3563582_004_00_table0,True,138,True,138,10,138
PMC3568733_004_00_table0,True,102,True,102,0,102
PMC3583072_005_00_table0,True,36,True,36,0,36
PMC3599432_009_00_table0,True,65,True,65,0,65
PMC3641012_013_00_table0,True,145,True,145,0,145
PMC3662567_009_01_table0,True,29,True,29,0,29
