table_id,otsl_square,raw_cell_count,bbox_sync,raw_bbox_count,n_raw_overlaps,n_cells_at_overlap_check,n_exact_duplicates
pubtabnet_tok_613565_table0,True,24,True,24,0,24,0
pubtabnet_tok_592865_table0,True,24,True,24,6,24,0
pubtabnet_tok_616588_table0,True,37,True,37,2,37,0
pubtabnet_tok_634629_table0,True,33,True,33,0,33,0
pubtabnet_tok_689997_table0,True,42,True,42,3,42,0
pubtabnet_tok_566468_table0,True,28,True,28,3,28,0
pubtabnet_tok_618932_table0,True,18,True,18,0,18,0
pubtabnet_tok_681901_table0,True,49,True,49,0,49,0
pubtabnet_tok_590930_table0,True,24,True,24,1,24,0
pubtabnet_tok_620192_table0,True,45,True,45,0,45,0
pubtabnet_tok_562731_table0,True,23,True,23,5,23,0
pubtabnet_tok_693183_table0,True,32,True,32,11,32,0
pubtabnet_tok_602980_table0,True,45,True,45,1,45,0
pubtabnet_tok_642815_table0,True,32,True,32,6,32,0
pubtabnet_tok_713201_table0,True,112,True,112,5,112,0
pubtabnet_tok_650560_table0,True,36,True,36,1,36,0
pubtabnet_tok_711083_table0,True,104,True,104,1,104,0
pubtabnet_tok_638457_table0,True,24,True,24,0,24,0
pubtabnet_tok_550868_table0,True,66,True,66,0,66,0
pubtabnet_tok_644329_table0,True,137,True,137,0,137,0
pubtabnet_tok_634237_table0,True,123,True,123,0,123,0
pubtabnet_tok_613461_table0,True,55,True,55,0,55,0
pubtabnet_tok_677385_table0,True,285,True,285,45,285,0
pubtabnet_tok_587476_table0,True,38,True,38,0,38,0
pubtabnet_tok_678100_table0,True,9,True,9,3,9,0
pubtabnet_tok_566350_table0,True,99,True,99,1,99,0
pubtabnet_tok_731135_table0,True,78,True,78,0,78,0
pubtabnet_tok_634947_table0,True,130,True,130,0,130,0
pubtabnet_tok_658456_table0,True,126,True,126,1,126,0
pubtabnet_tok_641678_table0,True,52,True,52,0,52,0
pubtabnet_tok_554187_table0,True,72,True,72,0,72,0
pubtabnet_tok_595591_table0,True,169,True,169,17,169,0
pubtabnet_tok_713574_table0,True,28,True,28,3,28,0
pubtabnet_tok_573203_table0,True,18,True,18,0,18,0
pubtabnet_tok_672352_table0,True,12,True,12,0,12,0
pubtabnet_tok_695383_table0,True,40,True,40,0,40,0
pubtabnet_tok_729453_table0,True,245,True,245,40,245,0
pubtabnet_tok_721169_table0,True,39,True,39,0,39,0
pubtabnet_tok_705976_table0,True,64,True,64,0,64,0
pubtabnet_tok_676694_table0,True,36,True,36,0,36,0
pubtabnet_tok_656835_table0,True,72,True,72,0,72,0
pubtabnet_tok_670433_table0,True,59,True,59,28,59,0
pubtabnet_tok_686848_table0,True,93,True,93,0,93,0
pubtabnet_tok_719903_table0,True,42,True,42,7,42,0
pubtabnet_tok_730273_table0,True,35,True,35,15,35,0
pubtabnet_tok_627549_table0,True,65,True,65,1,65,0
