table_id,is_catastrophic,raw_cell_count,post_cell_count,n_raw_overlaps,n_post_overlaps,n_raw_dups,n_post_dups,overlap_reduced,fully_recovered
pubtabnet_tok_550868_table0,False,66,64,0,0,0,0,False,False
pubtabnet_tok_551822_table0,False,65,47,2,0,0,0,True,True
pubtabnet_tok_554187_table0,False,72,72,0,0,0,0,False,False
pubtabnet_tok_562384_table0,False,140,132,0,0,0,0,False,False
pubtabnet_tok_562731_table0,False,23,16,5,0,0,0,True,True
pubtabnet_tok_563699_table0,False,56,56,3,0,0,0,True,True
pubtabnet_tok_564154_table0,False,21,21,2,0,0,0,True,True
pubtabnet_tok_564424_table0,False,70,54,6,0,0,0,True,True
pubtabnet_tok_566196_table0,False,148,135,0,0,0,0,False,False
pubtabnet_tok_566350_table0,False,99,92,1,0,0,0,True,True
pubtabnet_tok_566468_table0,False,28,21,3,0,0,0,True,True
pubtabnet_tok_571472_table0,False,22,22,0,0,0,0,False,False
pubtabnet_tok_573003_table0,False,95,77,24,0,0,0,True,True
pubtabnet_tok_573203_table0,False,18,17,0,0,0,0,False,False
pubtabnet_tok_577340_table0,False,81,56,3,0,0,0,True,True
pubtabnet_tok_578521_table0,False,108,87,0,0,0,0,False,False
pubtabnet_tok_579989_table0,False,30,30,0,0,0,0,False,False
pubtabnet_tok_581116_table0,False,99,75,10,0,0,0,True,True
pubtabnet_tok_581358_table0,False,75,66,0,0,0,0,False,False
pubtabnet_tok_586047_table0,False,49,49,6,0,0,0,True,True
pubtabnet_tok_586722_table0,False,100,98,0,0,0,0,False,False
pubtabnet_tok_587456_table0,False,29,19,0,0,0,0,False,False
pubtabnet_tok_587476_table0,False,38,34,0,0,0,0,False,False
pubtabnet_tok_590930_table0,False,24,24,1,0,0,0,True,True
pubtabnet_tok_592865_table0,False,24,24,6,0,0,0,True,True
pubtabnet_tok_595591_table0,False,169,102,17,0,0,0,True,True
pubtabnet_tok_597425_table0,False,111,98,8,0,0,0,True,True
pubtabnet_tok_602980_table0,False,45,44,1,0,0,0,True,True
pubtabnet_tok_613461_table0,False,55,55,0,0,0,0,False,False
pubtabnet_tok_613565_table0,False,24,21,0,0,0,0,False,False
pubtabnet_tok_614279_table0,False,122,86,1,0,0,0,True,True
pubtabnet_tok_616588_table0,False,37,35,2,0,0,0,True,True
pubtabnet_tok_618932_table0,False,18,16,0,0,0,0,False,False
pubtabnet_tok_620192_table0,False,45,44,0,0,0,0,False,False
pubtabnet_tok_622581_table0,False,35,33,9,0,0,0,True,True
pubtabnet_tok_622741_table0,False,18,18,0,0,0,0,False,False
pubtabnet_tok_624025_table0,False,51,50,18,0,0,0,True,True
pubtabnet_tok_626798_table0,False,105,92,0,0,0,0,False,False
pubtabnet_tok_627549_table0,False,65,65,1,0,0,0,True,True
pubtabnet_tok_627747_table0,False,30,25,0,0,0,0,False,False
pubtabnet_tok_629558_table0,True,345,12,33766,0,0,0,True,True
pubtabnet_tok_630478_table0,False,105,84,0,0,0,0,False,False
pubtabnet_tok_634237_table0,False,123,122,0,0,0,0,False,False
pubtabnet_tok_634445_table0,True,152,122,34,0,0,0,True,True
pubtabnet_tok_634629_table0,False,33,30,0,0,0,0,False,False
pubtabnet_tok_634947_table0,False,130,97,0,0,0,0,False,False
pubtabnet_tok_638457_table0,False,24,24,0,0,0,0,False,False
pubtabnet_tok_639579_table0,False,76,61,0,1,0,0,False,False
pubtabnet_tok_641678_table0,False,52,52,0,0,0,0,False,False
pubtabnet_tok_642815_table0,False,32,31,6,0,0,0,True,True
pubtabnet_tok_642953_table0,False,25,25,1,0,0,0,True,True
pubtabnet_tok_644070_table0,False,18,15,4,0,0,0,True,True
pubtabnet_tok_644329_table0,False,137,136,0,0,0,0,False,False
pubtabnet_tok_650505_table0,False,30,28,9,0,0,0,True,True
pubtabnet_tok_650560_table0,False,36,28,1,0,0,0,True,True
pubtabnet_tok_656080_table0,False,145,122,1,0,0,0,True,True
pubtabnet_tok_656835_table0,False,72,56,0,0,0,0,False,False
pubtabnet_tok_657150_table0,False,30,30,14,0,0,0,True,True
pubtabnet_tok_658456_table0,False,126,110,1,0,0,0,True,True
pubtabnet_tok_664492_table0,False,23,18,6,0,0,0,True,True
pubtabnet_tok_664752_table0,False,38,34,14,0,0,0,True,True
pubtabnet_tok_665351_table0,False,45,43,7,0,0,0,True,True
pubtabnet_tok_665630_table0,False,12,12,4,0,0,0,True,True
pubtabnet_tok_670433_table0,True,59,53,28,0,0,0,True,True
pubtabnet_tok_672352_table0,False,12,12,0,0,0,0,False,False
pubtabnet_tok_674911_table0,False,76,66,0,0,0,0,False,False
pubtabnet_tok_676694_table0,False,36,30,0,0,0,0,False,False
pubtabnet_tok_677385_table0,True,285,122,45,0,0,0,True,True
pubtabnet_tok_678100_table0,False,9,9,3,0,0,0,True,True
pubtabnet_tok_681901_table0,False,49,49,0,0,0,0,False,False
pubtabnet_tok_683662_table0,False,115,91,0,0,0,0,False,False
pubtabnet_tok_684582_table0,False,84,83,1,0,0,0,True,True
pubtabnet_tok_686848_table0,False,93,93,0,0,0,0,False,False
pubtabnet_tok_689997_table0,False,42,41,3,0,0,0,True,True
pubtabnet_tok_693183_table0,False,32,29,11,0,0,0,True,True
pubtabnet_tok_695383_table0,False,40,40,0,0,0,0,False,False
pubtabnet_tok_698176_table0,False,28,26,1,0,0,0,True,True
pubtabnet_tok_699822_table0,False,29,26,0,0,0,0,False,False
pubtabnet_tok_701544_table0,False,8,7,3,0,0,0,True,True
pubtabnet_tok_705976_table0,False,64,49,0,0,0,0,False,False
pubtabnet_tok_707297_table0,False,30,25,5,0,0,0,True,True
pubtabnet_tok_707628_table0,False,48,46,0,0,0,0,False,False
pubtabnet_tok_709582_table0,False,86,75,0,0,0,0,False,False
pubtabnet_tok_711083_table0,False,104,72,1,0,0,0,True,True
pubtabnet_tok_713201_table0,False,112,112,5,0,0,0,True,True
pubtabnet_tok_713574_table0,False,28,26,3,0,0,0,True,True
pubtabnet_tok_713774_table0,False,27,25,3,0,0,0,True,True
pubtabnet_tok_719903_table0,False,42,37,7,0,0,0,True,True
pubtabnet_tok_721169_table0,False,39,29,0,0,0,0,False,False
pubtabnet_tok_721570_table0,False,18,18,9,1,0,0,True,False
pubtabnet_tok_722429_table0,False,40,29,21,1,0,0,True,False
pubtabnet_tok_722546_table0,False,112,112,0,0,0,0,False,False
pubtabnet_tok_723237_table0,False,20,20,10,0,0,0,True,True
pubtabnet_tok_723463_table0,False,180,180,5,0,0,0,True,True
pubtabnet_tok_723545_table0,False,47,34,3,1,0,0,True,False
pubtabnet_tok_724618_table0,False,66,59,0,0,0,0,False,False
pubtabnet_tok_729453_table0,True,245,185,40,0,0,0,True,True
pubtabnet_tok_730065_table0,False,58,56,2,0,0,0,True,True
pubtabnet_tok_730273_table0,False,35,26,15,0,0,0,True,True
pubtabnet_tok_731135_table0,False,78,78,0,0,0,0,False,False
